branch_id,branch_name
19110,Civil Engineering
24210,Computer Science and Engineering
24610,Information Technology
29310,Electrical Engineering
37210,Electronics and Telecommunication Engg
46610,Instrumentation Engineering
61210,Mechanical Engineering
50310,Food Technology
51710,Oil and Paints Technology
52410,Paper and Pulp Technology
52710,Petro Chemical Engineering
24510,Computer Engineering
35610,Electrical Engg[Electronics and Power]
26310,Artificial Intelligence (AI) and Data Science
26710,Computer Science and Engineering (IoT)
91110,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
99510,Artificial Intelligence and Data Science
50710,Chemical Engineering
89310,Textile Engineering / Technology
91210,Computer Science and Engineering(Data Science)
60610,Production Engineering
89610,Textile Technology
81610,Pharmaceutical and Fine Chemical Technology
90410,Chemical Engineering
92110,Artificial Intelligence and Machine Learning
84410,Electronics and Computer Engineering
92910,VLSI
93210,5G
01110,Agricultural Engineering
25710,Computer Science and Design
50110,Plastic and Polymer Engineering
62410,Mechatronics Engineering
61510,Mechanical & Automation Engineering
91610,Automation and Robotics
46310,Architectural Assistantship
37810,Electronics Engineering ( VLSI Design and Technology)
29710,Electrical and Electronics Engineering
90010,Electronics and Computer Science
90610,Civil Engineering (Structural Engineering)
90710,Food Engineering
90810,Mechanical and Automation Engineering
91410,Safety and Fire Engineering
92810,Electronics and Communication(Advanced Communication Technology)
99710,Artificial Intelligence
56610,Computer Science
37610,Electronics Engineering
62610,Production Engineering[Sandwich]
90510,Computer Science and Engineering
51110,Dyestuff Technology
51310,Pharmaceuticals Chemistry and Technology
51410,Fibres and Textile Processing Technology
51910,Polymer Engineering and Technology
53410,Food Engineering and Technology
50410,Food Technology And Management
91810,Civil and infrastructure Engineering
46110,Bio Medical Engineering
92010,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain
91710,Data Science
25210,Cyber Security
93310,Electronics and Communication (Advanced Communication Technology)
60210,Automobile Engineering
25310,Internet of Things (IoT)
25910,Mechanical and Mechatronics Engineering (Additive Manufacturing)
91010,Computer Science and Engineering(Cyber Security)
61610,Mechanical Engineering Automobile
92610,Electrical and Computer Engineering
93510,Electronics and Biomedical Engineering
56810,Computer Science and Information Technology
92410,Data Engineering
25110,Computer Technology
37010,Electronics and Communication Engineering
26010,Computer Science and Engineering (Cyber Security)
91310,Computer Science and Engineering (Artificial Intelligence)
00210,Aeronautical Engineering
08210,Bio Technology
26510,Industrial IoT
26610,Robotics and Artificial Intelligence
70110,Mining Engineering
26210,Computer Science and Business Systems
93610,Fire Engineering
50810,Plastic Technology
51810,Oil Fats and Waxes Technology
52310,Paints Technology
46410,Instrumentation and Control Engineering
21910,Robotics and Automation
91510,Structural Engineering
92210,Civil and Environmental Engineering
25410,Computer Science and Technology
92710,Computer Engineering (Software Engineering)
46510,Technical Textiles
57010,Fashion Technology
88610,Man Made Textile Technology
89010,Textile Chemistry
92510,Computer Science and Engineering (Artificial Intelligence and Data Science)
84110,Printing and Packing Technology
62510,Mechanical Engineering[Sandwich]
57310,"Electrical, Electronics and Power"
