category_code,percentile
GOPENS,88.6037289
GSCS,78.5613347
GNT3S,76.1358545
GSEBCS,69.7604398
LSCS,82.7086811
LVJS,81.7098306
EWS,53.7424491
GSCS,96.2437396
GSEBCS,94.3331807
LOPENS,97.3461799
LSEBCS,92.7108008
TFWS,96.7229568
EWS,94.8964961
GOBCS,97.0497898
GSEBCS,91.9492948
LOPENS,96.0392321
LSEBCS,91.7849899
TFWS,95.6320635
EWS,93.6359026
GOPENS,91.9393058
GNT2S,82.7086811
LNT1S,84.5731157
TFWS,95.7978793
EWS,72.7750912
GOPENS,93.8492553
GSTS,83.7440631
GOBCS,93.4557596
GSEBCS,89.591785
LOPENS,95.054719
LVJS,76.5404634
LSEBCS,84.8482325
TFWS,92.7704421
EWS,90.5124049
GOPENS,88.5013511
LOBCS,89.1945571
GOPENS,89.3223371
GSCS,77.8445199
GVJS,76.1268781
LOPENS,86.7801974
LSCS,77.2074577
LOBCS,83.1469549
TFWS,81.934184
EWS,60.6237408
GOPENH,80.9512783
GSCH,63.2687832
GOBCH,73.6262684
LOBCH,80.5269954
GSCO,87.9872713
LOPENO,93.882038
EWS,57.1959853
GOPENH,57.2537563
GOBCH,30.954192
LOPENH,43.5298862
LSCH,42.8773305
GOPENH,56.9588351
GOBCH,34.8626522
GOPENO,60.6237408
GOBCO,55.2318816
GOPENH,56.9588351
GSCH,47.4576949
GOBCH,55.2318816
LOPENH,72.3242844
LNT1H,29.3071786
GOPENO,71.3988776
GSCO,65.4406319
GNT2O,27.4048925
GOBCO,67.5033807
LOPENO,83.639399
EWS,3.89399
GOPENH,84.2156613
GSCH,74.1162962
GSTH,46.3657898
GOBCH,80.5358903
LOPENH,85.8772819
LSCH,78.5613347
LNT3H,52.0276576
LOBCH,84.7973394
GOPENO,93.6711065
GSCO,82.1493863
GSTO,72.5041736
GOBCO,89.7106951
LOPENO,86.0755637
LSCO,79.4895283
LNT2O,73.7743452
GOPENH,69.7639628
GNT1H,50.8618056
GNT2H,57.3310702
GNT3H,18.5574725
GOBCH,66.1855163
LOPENH,62.8351694
LSCH,58.1588042
LOBCH,62.7216425
GOPENO,78.5613347
GSCO,72.5041736
GVJO,65.3627105
TFWS,73.8893284
GOPENH,75.6212581
GNT1H,71.4038201
GOBCH,72.5041736
LOPENH,73.8893284
LOBCH,67.5033807
GSEBCH,73.4468855
GOPENO,82.7099252
GSCO,77.2074577
GOBCO,79.5235744
LOPENO,84.4941393
LNT1O,25.6482713
LOBCO,81.9801476
TFWS,78.9120215
EWS,43.1231034
GOPENH,57.1959853
GSCH,44.4778985
GVJH,42.2200941
GNT3H,25.6482713
GOBCH,52.9935209
LOPENH,68.0717863
LOBCH,47.9842799
GOPENO,65.4406319
GSCO,57.1543272
GSTO,60.546705
GVJO,27.9969458
GOBCO,60.2921536
LOPENO,65.9366282
TFWS,63.0701676
EWS,21.3531102
GOPENH,94.8262965
GOBCH,93.8767748
LOPENH,94.5996586
LSEBCH,79.3458895
GOPENO,93.6359026
GSCO,81.7098306
LSCO,82.1766955
GOPENH,90.3886926
GOBCH,88.5679854
LOPENH,91.1268781
LVJH,22.5020163
GOPENS,70.8722936
GOBCS,70.4092512
LOPENS,77.8250739
TFWS,81.1614491
EWS,32.8344132
GOPENS,91.8342241
GSTS,46.3828235
GOBCS,91.1978661
GSEBCS,76.933232
LOPENS,93.0070517
LSCS,91.0655077
LSEBCS,74.6830629
EWS,89.3907269
GOPENS,89.4907774
GSTS,33.5585964
GNT1S,83.639399
GSEBCS,67.294477
LOPENS,89.778798
LSTS,40.99476
LNT3S,72.3242844
LOBCS,89.3223371
EWS,70.8722936
GOPENS,85.2125768
GSCS,81.9801476
GNT3S,73.3652047
GOBCS,84.5114907
GSEBCS,63.2687832
LOPENS,86.7139959
LOBCS,86.1764583
LSEBCS,57.3310702
EWS,65.8812284
GOBCS,83.1983982
LOPENS,88.9034341
GOPENS,83.5806009
GSTS,15.1214416
GVJS,69.2652564
GOBCS,82.6959019
LOPENS,83.639399
EWS,71.3988776
GOPENS,69.2652564
GSCS,66.4751458
GVJS,52.2046883
GOBCS,67.8440824
LOPENS,68.4785771
LSCS,56.9588351
LNT2S,50.6004122
LOBCS,67.8440824
GOPENS,86.8966951
GSCS,82.0158422
GSTS,68.9053056
GOBCS,86.8966951
LSCS,84.0259309
LOBCS,94.5996586
EWS,78.4440843
GOPENS,76.0337773
GSEBCS,65.8812284
EWS,24.4231968
GOPENS,80.9741447
GSCS,73.7956676
GNT3S,72.1239122
GNT1S,76.4789025
LOPENS,81.658825
LSCS,81.4941569
TFWS,86.803005
EWS,59.3445914
GOPENS,84.8307457
GSTS,34.805294
GVJS,62.2534756
EWS,65.5460439
GOPENS,70.8722936
GSCS,69.0659616
LOPENS,66.4751458
LNT2S,62.7875345
EWS,6.3063439
GOPENS,85.5759641
GSTS,22.974757
GVJS,81.3894523
GOBCS,84.6087386
LOPENS,89.2149834
LSCS,85.1704164
GOPENS,84.2430574
GSCS,76.2466193
GSTS,35.3791065
GNT3S,62.8733646
GOBCS,83.9659115
GSEBCS,67.8622856
LOPENS,83.752973
LSEBCS,57.2537563
EWS,70.4092512
GOPENS,81.7887587
LOPENS,82.7090241
GOPENS,78.9173428
GNT3S,62.8351694
GOBCS,78.4507504
GSEBCS,66.1855163
LOPENS,79.9360013
LNT2S,73.7743452
EWS,22.4081803
GOPENS,69.4683908
GSCS,63.9612515
GNT2S,65.8812284
LSCS,52.0276576
LVJS,9.5359294
